Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,NG PITCH -1.5mm,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,10.77,USD,19/07/2015,
00,,KH2,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-C14,In-Process,1599.06,USD,16/07/2015,
00,,KH1,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-C14,In-Process,0.00,USD,16/07/2015,
00,,KH1,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-C14,In-Process,0.00,USD,16/07/2015,
00,,KH1,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-C14,In-Process,0.00,USD,16/07/2015,
00,,M1A9484,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,15/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,34712.02,USD,15/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,3568.86,USD,15/07/2015,
00,,test,536M-C06F,REG,Sumitomo Corporation Middle East FZE ,536m-c06f,In-Process,79384.39,USD,14/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,21107.81,USD,14/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,43063.86,USD,14/07/2015,
00,,7305,536K,REG,DAR AL HAI,aasqar-K,In-Process,45.94,USD,12/07/2015,
00,,7304,536K,REG,DAR AL HAI,aasqar-K,In-Process,45.94,USD,12/07/2015,
00,,7301,536K,REG,DAR AL HAI,aasqar-K,In-Process,0.00,USD,12/07/2015,
00,,TOOL RFQ JULY-12-15,9961S,REG,KME SERVICE,GIRISH,In-Process,66134.33,USD,12/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,743.74,USD,12/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,0.00,USD,12/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,112053.84,USD,12/07/2015,
00,,test,536M-KU1,REG,Sumitomo Corporation Middle East FZE ,536m-ku1,In-Process,2364.72,USD,11/07/2015,
00,,KME/CLAIM/2015/101,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,110.26,USD,07/07/2015,
00,,M1A9377,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,07/07/2015,
00,,test,536M,REG,Sumitomo Corporation Middle East FZE ,536m,In-Process,71467.88,USD,05/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,45346.74,USD,05/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,1974.87,USD,05/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,154.83,USD,05/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,21714.20,USD,05/07/2015,
00,,D-SS1507-06,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,8223.86,USD,04/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,7738.36,USD,04/07/2015,
00,,TLA-07-01,MISC1,REG,MISC (USD),shiva,In-Process,75919.20,USD,04/07/2015,
00,,Stand Brackets,9961S,REG,KME SERVICE,MALIK,In-Process,2794.04,USD,02/07/2015,
00,,test,536M-KU1,REG,Sumitomo Corporation Middle East FZE ,536m-ku1,In-Process,263.19,USD,01/07/2015,
00,,7271,536Y,REG,DAR AL HAI,aasqar-Y,In-Process,680.40,USD,01/07/2015,
00,,GA-07-01,9999,REG,KOMATSU LIMITED,shiva,In-Process,42415.55,USD,01/07/2015,
00,,discrepancy,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,3117.72,USD,01/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,387.17,USD,01/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,117.50,USD,01/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,2532.60,USD,01/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,5522.12,USD,30/06/2015,
00,,GB/KME/EO-81673,536C,REG,Galadari Trucks & Heavy Equipment,JAMALUDDIN,In-Process,0.00,USD,29/06/2015,
00,,test,536M-C06F,REG,Sumitomo Corporation Middle East FZE ,536m-c06f,In-Process,3062.14,USD,29/06/2015,
00,,1234,536K,REG,DAR AL HAI,aasqar-K,In-Process,312018.11,USD,28/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,8160.80,USD,28/06/2015,
00,,GB/KME/EO-81662,536C,REG,Galadari Trucks & Heavy Equipment,JAMALUDDIN,In-Process,0.00,USD,28/06/2015,
00,,test,536M-KU1,REG,Sumitomo Corporation Middle East FZE ,536m-ku1,In-Process,263.19,USD,28/06/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,175323.22,USD,28/06/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,23056.64,USD,27/06/2015,
00,,PPO004536,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,25/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,2205531.35,USD,24/06/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,5719.72,USD,24/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,353.63,USD,24/06/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,235.12,USD,24/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,8420.70,USD,24/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,2205531.35,USD,24/06/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,13763.28,USD,23/06/2015,
00,,RESERVE FOR YKA,533K,REG,Y.K.Almoayyed & Sons B.S.C.,annaliza,In-Process,34500.00,USD,22/06/2015,
00,,M1A9231,522K,REG,Saud Bahwan Projects and Equipment LLC,bannamalai,In-Process,0.00,USD,21/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,8171.88,USD,20/06/2015,
00,,GD663A-2 x 14,555R,REG,Abdul Latif Jameel Machinery Trading Co. LTD,MALIK,In-Process,0.00,USD,18/06/2015,
00,,PPO004328,555D,REG,Abdul Latif Jameel Machinery Trading Co. LTD,saijaz-d,In-Process,0.00,USD,18/06/2015,
00,,H.W. Grease ,9961S,REG,KME SERVICE,MALIK,In-Process,1400.00,USD,17/06/2015,
00,,GB/KME/CL/027/2015,DS01,REG,KME - DISCREPANCY /SHORTAGE,annaliza,In-Process,70.12,USD,17/06/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,185327.77,USD,16/06/2015,
00,,Special Tool,9961S,REG,KME SERVICE,MALIK,In-Process,4523.40,USD,14/06/2015,
00,,S.T transmission,9961S,REG,KME SERVICE,MALIK,In-Process,1769.25,USD,14/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,626.12,USD,14/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,2363.76,USD,14/06/2015,
00,,test,536M-KU1,REG,Sumitomo Corporation Middle East FZE ,536m-ku1,In-Process,1745.10,USD,13/06/2015,
00,,komatsu3,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-c14,In-Process,173678.98,USD,11/06/2015,
00,,komatsu2,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-c14,In-Process,173678.98,USD,11/06/2015,
00,,komatsu1,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536m-c14,In-Process,228847.48,USD,11/06/2015,
00,,3STK150609-SBR-R,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,makoto-j,In-Process,0.00,USD,10/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,44996.82,USD,10/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,187489.75,USD,10/06/2015,
00,,WH06-01,MISC1,REG,MISC (USD),shiva,In-Process,377835.90,USD,09/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,375706.10,USD,09/06/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,120775.47,USD,09/06/2015,
00,,Tachometer,9961S,REG,KME SERVICE,MALIK,In-Process,1203.30,USD,09/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,131357.52,USD,08/06/2015,
00,,PPO004366-1,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,maher-j,In-Process,0.00,USD,07/06/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,74686.16,USD,06/06/2015,
00,,GB/KME/EO-81424,536C,REG,Galadari Trucks & Heavy Equipment,JAMALUDDIN,In-Process,0.00,USD,06/06/2015,
